"Lower Bound","Upper Bound","Value"
"0.0","","1.629782860533763E-4"
"1.0","4.0","3.572385833772852E-4"
"5.0","9.0","8.250374776329383E-4"
"10.0","19.0","0.0027846629259220086"
"20.0","29.0","0.0042313704574163105"
"30.0","39.0","0.005433366550440881"
"40.0","49.0","0.0064024015805162135"
"50.0","59.0","0.007245180627701505"
"60.0","69.0","0.007876995967911875"
"70.0","79.0","0.008322435271983921"
"80.0","89.0","0.008594680588260982"
"90.0","99.0","0.008646741086981099"
"100.0","119.0","0.01815373965353819"
"120.0","139.0","0.018244720528166752"
"140.0","159.0","0.01792294157906407"
"160.0","179.0","0.017562517249075264"
"180.0","199.0","0.016987224315208334"
"200.0","219.0","0.016751312771129248"
"220.0","239.0","0.01625737659536654"
"240.0","259.0","0.015586651900076062"
"260.0","279.0","0.015239145387815987"
"280.0","299.0","0.014757440673102003"
"300.0","324.0","0.01820290555647971"
"325.0","349.0","0.01759171384213177"
"350.0","374.0","0.017140471355763093"
"375.0","399.0","0.01656342128069628"
"400.0","424.0","0.016164253380117562"
"425.0","449.0","0.015458602343039616"
"450.0","474.0","0.01511302510344557"
"475.0","499.0","0.014511771561112392"
"500.0","524.0","0.01440686342811388"
"525.0","549.0","0.013820209597624925"
"550.0","574.0","0.013521733200638373"
"575.0","599.0","0.013105197366906851"
"600.0","649.0","0.025402915696245615"
"650.0","699.0","0.024004097282081367"
"700.0","749.0","0.023026835287161894"
"750.0","799.0","0.021521528789010817"
"800.0","849.0","0.02052943864764444"
"850.0","899.0","0.01902316370380782"
"900.0","949.0","0.0184766391852761"
"950.0","999.0","0.017147085994218946"
"1000.0","1099.0","0.03330972269908055"
"1100.0","1199.0","0.030422573611657414"
"1200.0","1299.0","0.027193444116191064"
"1300.0","1399.0","0.02546820161700903"
"1400.0","1499.0","0.02363534252401674"
"1500.0","1599.0","0.022594323150451425"
"1600.0","1699.0","0.02107091312173351"
"1700.0","1799.0","0.020168236969554568"
"1800.0","1899.0","0.020156141141668676"
"1900.0","1999.0","0.02012385553893726"
"2000.0","2249.0","0.05140223769219397"
"2250.0","2499.0","0.04528043600429067"
"2500.0","2749.0","0.034691130881830366"
"2750.0","3000.0","0.017870985436976235"
"3001.0","4000.0","0.023511210598432412"
"4001.0","5000.0","2.299729190580823E-5"
"5001.0","6000.0","2.1494581254236412E-7"
"6001.0","7000.0","0.0"
"7001.0","8000.0","0.0"
"8001.0","9000.0","0.0"
"9001.0","10000.0","0.0"
